sido_name,year,population
서울특별시,2019,9729107.0
서울특별시,2020,9668465.0
서울특별시,2021,9509458.0
서울특별시,2022,9428372.0
서울특별시,2023,9386034.0
서울특별시,2024,9331828.0
서울특별시,2025,9299548.0
세종특별자치시,2012,113117.0
세종특별자치시,2013,122153.0
세종특별자치시,2014,156125.0
세종특별자치시,2015,210884.0
세종특별자치시,2016,243048.0
세종특별자치시,2017,280100.0
세종특별자치시,2018,314126.0
세종특별자치시,2019,340575.0
세종특별자치시,2020,355831.0
세종특별자치시,2021,371895.0
세종특별자치시,2022,383591.0
세종특별자치시,2023,386525.0
세종특별자치시,2024,390685.0
세종특별자치시,2025,391965.0
울산광역시,2008,1112407.0
울산광역시,2009,1114866.0
울산광역시,2010,1126298.0
울산광역시,2011,1135494.0
울산광역시,2012,1147256.0
울산광역시,2013,1156480.0
울산광역시,2014,1166377.0
울산광역시,2015,1173534.0
울산광역시,2016,1172304.0
울산광역시,2017,1165132.0
울산광역시,2018,1155623.0
울산광역시,2019,1148019.0
울산광역시,2020,1136017.0
울산광역시,2021,1121592.0
울산광역시,2022,1110663.0
울산광역시,2023,1103661.0
울산광역시,2024,1098049.0
울산광역시,2025,1091948.0
인천광역시,2008,2692696.0
인천광역시,2009,2710579.0
인천광역시,2010,2758296.0
인천광역시,2011,2801274.0
인천광역시,2012,2843981.0
인천광역시,2013,2879782.0
인천광역시,2014,2902608.0
인천광역시,2015,2925815.0
인천광역시,2016,2943069.0
인천광역시,2017,2948542.0
인천광역시,2018,2954642.0
인천광역시,2019,2957026.0
인천광역시,2020,2942828.0
인천광역시,2021,2948375.0
인천광역시,2022,2967314.0
인천광역시,2023,2997410.0
인천광역시,2024,3021010.0
인천광역시,2025,3051961.0
전라남도,2008,1919000.0
전라남도,2009,1913004.0
전라남도,2010,1918485.0
전라남도,2011,1914339.0
전라남도,2012,1909618.0
전라남도,2013,1907172.0
전라남도,2014,1905780.0
전라남도,2015,1908996.0
전라남도,2016,1903914.0
전라남도,2017,1896424.0
전라남도,2018,1882970.0
전라남도,2019,1868745.0
전라남도,2020,1851549.0
전라남도,2021,1832803.0
전라남도,2022,1817697.0
전라남도,2023,1804217.0
전라남도,2024,1788819.0
전라남도,2025,1779135.0
전북특별자치도,2008,1855772.0
전북특별자치도,2009,1854508.0
전북특별자치도,2010,1868963.0
전북특별자치도,2011,1874031.0
전북특별자치도,2012,1873341.0
전북특별자치도,2013,1872965.0
전북특별자치도,2014,1871560.0
전북특별자치도,2015,1869711.0
전북특별자치도,2016,1864791.0
전북특별자치도,2017,1854607.0
전북특별자치도,2018,1836832.0
전북특별자치도,2019,1818917.0
전북특별자치도,2020,1804104.0
전북특별자치도,2021,1786855.0
전북특별자치도,2022,1769607.0
전북특별자치도,2023,1754757.0
전북특별자치도,2024,1738690.0
전북특별자치도,2025,1724856.0
제주특별자치도,2008,560618.0
제주특별자치도,2009,562663.0
제주특별자치도,2010,571255.0
제주특별자치도,2011,576156.0
제주특별자치도,2012,583713.0
제주특별자치도,2013,593806.0
제주특별자치도,2014,607346.0
제주특별자치도,2015,624395.0
제주특별자치도,2016,641597.0
제주특별자치도,2017,657083.0
제주특별자치도,2018,667191.0
제주특별자치도,2019,670989.0
제주특별자치도,2020,674635.0
제주특별자치도,2021,676759.0
제주특별자치도,2022,678159.0
제주특별자치도,2023,675252.0
제주특별자치도,2024,670368.0
제주특별자치도,2025,664792.0
충청남도,2008,2018537.0
충청남도,2009,2037582.0
충청남도,2010,2075514.0
충청남도,2011,2101284.0
충청남도,2012,2028777.0
충청남도,2013,2047631.0
충청남도,2014,2062273.0
충청남도,2015,2077649.0
충청남도,2016,2096727.0
충청남도,2017,2116770.0
충청남도,2018,2126282.0
충청남도,2019,2123709.0
충청남도,2020,2121029.0
충청남도,2021,2119257.0
충청남도,2022,2123037.0
충청남도,2023,2130119.0
충청남도,2024,2136574.0
충청남도,2025,2136753.0
충청북도,2008,1519587.0
충청북도,2009,1527478.0
충청북도,2010,1549528.0
충청북도,2011,1562903.0
충청북도,2012,1565628.0
충청북도,2013,1572732.0
충청북도,2014,1578933.0
충청북도,2015,1583952.0
충청북도,2016,1591625.0
충청북도,2017,1594432.0
충청북도,2018,1599252.0
충청북도,2019,1600007.0
충청북도,2020,1600837.0
충청북도,2021,1597427.0
충청북도,2022,1595058.0
충청북도,2023,1593469.0
충청북도,2024,1591177.0
충청북도,2025,1596502.0
